REGION_COUNTRY;1970_URBAN;1975_URBAN;1980_URBAN;1985_URBAN;1990_URBAN;1994_URBAN;2000_URBAN;2002_URBAN;2004_URBAN;2005_URBAN;2008_URBAN;1970_RURAL;1975_RURAL;1980_RURAL;1985_RURAL;1990_RURAL;1994_RURAL;2000_RURAL;2002_RURAL;2004_RURAL;2005_RURAL;2008_RURAL;1970_TOTAL;1975_TOTAL;1980_TOTAL;1985_TOTAL;1990_TOTAL;1994_TOTAL;2000_TOTAL;2002_TOTAL;2004_TOTAL;2005_TOTAL;2008_TOTAL
Israel;NA;NA;NA;NA;NA;NA;NA;100;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100
Japan;NA;NA;NA;NA;NA;NA;NA;100;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100
Jordan;NA;NA;94;92;100;NA;100;94;94;98;98;NA;NA;34;NA;100;NA;98;85;100;96;97;NA;NA;70;NA;100;95;99;93;93;98;98
Kazakhstan;NA;NA;NA;NA;NA;NA;100;87;87;97;97;NA;NA;NA;NA;NA;NA;98;52;NA;98;98;NA;NA;NA;NA;NA;NA;99;71.6;72;97;97
Korea DPR;NA;NA;NA;NA;NA;NA;99;58;58;NA;NA;NA;NA;NA;NA;NA;NA;100;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;99;58.78;59;NA;NA
Korea Rep;59;80;100;100;67;NA;76;NA;NA;100;100;NA;NA;NA;NA;NA;NA;NA;NA;67;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100
Kuwait;NA;NA;100;100;NA;NA;NA;NA;NA;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100
Kyrgyzstan;NA;NA;NA;NA;NA;NA;100;75;75;94;94;NA;NA;NA;NA;NA;NA;100;51;NA;93;93;NA;NA;NA;NA;NA;NA;100;60;59;93;93
Laos;  ;10;13;NA;30;70;84;61;67;77;86;NA;2;4;NA;8;13;34;14;30;30;38;NA;3;5;NA;12.18;24;46;24;30;43;53
Lebanon;NA;NA;NA;NA;NA;100;100;100;100;100;100;NA;NA;NA;NA;NA;100;92;87;NA;87;NA;NA;NA;NA;NA;NA;100;99;98.31;98;98;NA
Macau;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Malaysia;100;100;100;100;94;NA;NA;NA;95;96;96;43;43;55;60;94;NA;41;98;94;95;95;59;60;70;75;94;NA;NA;NA;94;96;96
Maldives;  ;21;60;100;95;95;100;100;100;100;100;NA;NA;1;2;4;26;58;42;95;88;96;NA;3;13;22;NA;44;56;58.24;59;92;98
Mongolia;NA;NA;NA;NA;100;NA;46;75;75;64;64;NA;NA;NA;NA;47;NA;2;37;100;30;32;NA;NA;NA;NA;77.74;NA;30;58.66;59;49;50
Myanmar (Burma);45;38;38;33;50;42;65;96;88;86;75;NA;NA;NA;NA;13;40;39;63;50;79;79;35;33;20;24;22.25;41;46;72.57;77;81;81
Nepal;14;14;16;17;34;51;75;68;62;50;51;NA;NA;1;1;3;16;20;20;34;24;27;1;1;1;NA;6.41;20;27;27.2;35;28;31
Oman;100;100;NA;88;NA;NA;98;97;97;97;97;NA;5;NA;25;NA;NA;61;61;NA;NA;NA;NA;12;NA;31;NA;76;92;88.72;NA;NA;NA
Pakistan;12;21;42;51;53;53;94;92;92;72;72;NA;NA;2;6;12;19;42;35;53;25;29;3;6;13;19;25.12;30;61;54.38;59;41;45
Philippines;90;76;81;83;79;NA;92;81;80;78;80;40;44;67;56;63;NA;71;61;79;65;69;57;56;75;67;69.88;NA;83;73;72;73;76
Qatar;100;100;NA;NA;100;NA;NA;100;100;100;100;16;100;NA;NA;85;NA;NA;100;100;100;100;83;100;NA;NA;NA;NA;NA;100;100;100;100
Saudi Arabia;67;91;81;100;NA;NA;100;100;100;100;100;11;35;50;33;NA;NA;100;NA;NA;NA;NA;21;47;70;82;NA;NA;100;NA;NA;NA;NA
Singapore;NA;NA;80;99;99;NA;100;100;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;99;NA;NA;NA;NA;80;99;NA;NA;100;100;100;NA;NA
Sri Lanka;76;68;80;65;68;33;91;98;98;87;88;61;55;63;39;45;58;80;89;68;88;92;64;59;67;44;49.83;52;83;90.89;91;88;91
Syria;NA;NA;74;NA;NA;77;98;97;99;96;96;NA;NA;28;NA;NA;35;81;56;NA;90;95;NA;NA;50;NA;NA;56;90;76.5;90;93;96
