REGION_COUNTRY;1970_URBAN;1975_URBAN;1980_URBAN;1985_URBAN;1990_URBAN;1994_URBAN;2000_URBAN;2002_URBAN;2004_URBAN;2005_URBAN;2008_URBAN;1970_RURAL;1975_RURAL;1980_RURAL;1985_RURAL;1990_RURAL;1994_RURAL;2000_RURAL;2002_RURAL;2004_RURAL;2005_RURAL;2008_RURAL;1970_TOTAL;1975_TOTAL;1980_TOTAL;1985_TOTAL;1990_TOTAL;1994_TOTAL;2000_TOTAL;2002_TOTAL;2004_TOTAL;2005_TOTAL;2008_TOTAL
Panama;100;100;100;100;NA;NA;88;99;99;97;97;41;54;62;64;NA;NA;86;79;79;83;83;69;77;81;82;NA;83;87;91;90;93;93
Puerto Rico;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
St Kitts;NA;NA;NA;NA;NA;NA;NA;99;99;100;100;NA;NA;NA;NA;NA;NA;NA;99;99;99;100;NA;NA;NA;NA;NA;99;NA;99;100;100;100
St Lucia;NA;NA;NA;NA;NA;NA;NA;98;98;99;97;NA;NA;NA;NA;NA;NA;NA;98;98;98;98;NA;NA;NA;NA;NA;98;NA;98;98;98;98
St Vincent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;93;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Trinidad/Tobago;100;79;100;100;100;NA;NA;92;92;97;98;95;100;93;95;88;NA;NA;88;88;93;93;96;93;97;98;95.8;93;86;90.964;91;93;94
Turks/Caicos Islands;NA;NA;NA;87;NA;NA;NA;100;100;97;98;NA;NA;NA;68;NA;NA;NA;100;100;100;98;NA;NA;NA;77;NA;100;NA;100;100;98;98
United States of America;NA;NA;NA;NA;NA;NA;100;100;100;100;100;NA;NA;NA;NA;NA;NA;100;100;100;94;94;NA;NA;NA;NA;NA;94;100;100;100;99;99
United States Virgin Islands;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA
SOUTH AMERICA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Argentina;69;76;61;63;NA;NA;85;97;98;98;98;12;26;17;17;NA;NA;30;NA;80;80;80;56;66;54;56;NA;80;79;NA;96;96;97
Bolivia;92;81;69;75;76;78;93;95;95;95;96;2;6;10;13;30;22;55;68;68;63;67;33;34;36;43;53.46;63;79;84.713;85;84;86
Brazil;78;87;83;85;95;85;95;96;96;98;99;28;NA;51;56;61;31;54;58;57;81;84;55;NA;72;77;86.5;81;87;88.818;90;95;97
Chile;67;78;100;98;NA;94;99;100;100;99;99;13;28;17;29;NA;37;66;59;58;75;75;56;70;84;87;NA;75;94;95;95;96;96
Colombia;88;86;93;100;87;88;98;99;99;99;99;28;33;73;76;82;48;73;71;71;73;73;63;64;86;NA;85.5;73;91;91.972;93;92;92
Ecuador;76;67;79;81;63;82;81;92;97;96;97;7;8;20;31;44;55;51;77;89;86;88;34;36;50;57;54.64;86;71;86.045;94;92;94
Falkland Islands (Malvinas);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
French Guiana;NA;NA;NA;NA;NA;NA;88;88;88;NA;NA;NA;NA;NA;NA;NA;NA;71;71;71;NA;NA;NA;NA;NA;NA;NA;NA;84;84;84;NA;NA
Guyana;100;100;100;100;100;90;98;83;83;96;98;63;75;60;65;71;45;91;83;83;90;93;75;84;72;76;80.57;90;94;83;83;92;94
Paraguay;22;25;39;53;61;NA;95;100;99;98;99;5;5;9;8;9;NA;58;62;68;93;66;11;13;21;28;33.96;93;79;83.014;86;83;86
Peru;58;72;68;73;68;74;87;87;89;90;90;8;15;18;17;24;24;51;66;65;58;61;35;47;50;55;54.8;58;77;81.288;83;81;82
