REGION_COUNTRY;1970_URBAN;1975_URBAN;1980_URBAN;1985_URBAN;1990_URBAN;1994_URBAN;2000_URBAN;2002_URBAN;2004_URBAN;2005_URBAN;2008_URBAN;1970_RURAL;1975_RURAL;1980_RURAL;1985_RURAL;1990_RURAL;1994_RURAL;2000_RURAL;2002_RURAL;2004_RURAL;2005_RURAL;2008_RURAL;1970_TOTAL;1975_TOTAL;1980_TOTAL;1985_TOTAL;1990_TOTAL;1994_TOTAL;2000_TOTAL;2002_TOTAL;2004_TOTAL;2005_TOTAL;2008_TOTAL
Bosnia and Herzegovina;NA;NA;NA;NA;NA;NA;NA;NA;99;100;100;NA;NA;NA;NA;NA;NA;NA;NA;96;97;98;NA;NA;NA;NA;NA;97;NA;NA;97;98;99
Bulgaria;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;97;100;100;NA;NA;NA;NA;NA;100;NA;NA;99;100;100
Estonia;NA;NA;NA;NA;NA;NA;NA;NA;100;99;99;NA;NA;NA;NA;NA;NA;NA;NA;99;97;97;NA;NA;NA;NA;NA;97;NA;NA;100;98;98
Hungary;NA;NA;NA;NA;NA;NA;NA;100;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;97;100;100;NA;NA;NA;NA;NA;100;NA;NA;99;100;100
Latvia;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;96;96;96;NA;NA;NA;NA;NA;96;NA;NA;99;99;99
Montenegro;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;96;96;NA;NA;NA;NA;NA;96;NA;NA;NA;98;98
Netherlands;NA;NA;NA;NA;NA;NA;NA;100;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;97;100;100;NA;NA;NA;NA;NA;100;NA;NA;99;100;100
Republic of Moldova;NA;NA;NA;NA;NA;NA;NA;97;97;96;96;NA;NA;NA;NA;NA;NA;NA;88;88;85;85;NA;NA;NA;NA;NA;85;NA;92.122;92;90;90
Romania;NA;NA;NA;NA;NA;NA;NA;91;91;NA;NA;NA;NA;NA;NA;NA;NA;NA;16;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;56.95;57;NA;NA
Russian Federation;NA;NA;NA;NA;NA;NA;NA;99;100;98;98;NA;NA;NA;NA;NA;NA;NA;88;88;89;89;NA;NA;NA;NA;NA;89;NA;96.063;97;96;96
Serbia;NA;NA;NA;NA;NA;NA;NA;NA;NA;99;99;NA;NA;NA;NA;NA;NA;NA;NA;NA;98;98;NA;NA;NA;NA;NA;98;NA;NA;NA;99;99
Serbia and Montenegro;NA;NA;NA;NA;NA;NA;NA;99;99;NA;NA;NA;NA;NA;NA;NA;NA;NA;86;86;NA;NA;NA;NA;NA;NA;NA;NA;NA;92.71;93;NA;NA
Slovakia;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;97;100;100;NA;NA;NA;NA;NA;100;NA;NA;99;100;100
Ukraine;NA;NA;NA;NA;NA;NA;NA;100;99;99;98;NA;NA;NA;NA;NA;NA;NA;94;91;95;97;NA;NA;NA;NA;NA;95;NA;98.026;96;98;98
